"","ID","a_p2relsat","Avoidance_centering","Anxiety_centering","Identification_centering","day"
"1",1,5,10.7840909090909,-13.1704545454546,-1.13636363636364,1
"2",1,6,10.7840909090909,-13.1704545454546,-1.13636363636364,2
"3",1,3,10.7840909090909,-13.1704545454546,-1.13636363636364,3
"4",1,3,10.7840909090909,-13.1704545454546,-1.13636363636364,4
"5",1,6,10.7840909090909,-13.1704545454546,-1.13636363636364,5
"6",1,5,10.7840909090909,-13.1704545454546,-1.13636363636364,6
"7",2,6,-7.21590909090909,8.82954545454545,4.86363636363636,1
"8",2,3,-7.21590909090909,8.82954545454545,4.86363636363636,2
"9",2,3,-7.21590909090909,8.82954545454545,4.86363636363636,3
"10",2,6,-7.21590909090909,8.82954545454545,4.86363636363636,4
"11",2,6,-7.21590909090909,8.82954545454545,4.86363636363636,5
"12",2,6,-7.21590909090909,8.82954545454545,4.86363636363636,6
"13",3,2,7.78409090909091,1.82954545454545,4.86363636363636,1
"14",3,4,7.78409090909091,1.82954545454545,4.86363636363636,2
"15",3,3,7.78409090909091,1.82954545454545,4.86363636363636,3
"16",3,4,7.78409090909091,1.82954545454545,4.86363636363636,4
"17",3,5,7.78409090909091,1.82954545454545,4.86363636363636,5
"18",3,6,7.78409090909091,1.82954545454545,4.86363636363636,6
"19",6,3,-6.21590909090909,-13.1704545454546,-9.13636363636364,1
"20",6,6,-6.21590909090909,-13.1704545454546,-9.13636363636364,2
"21",6,4,-6.21590909090909,-13.1704545454546,-9.13636363636364,3
"22",6,4,-6.21590909090909,-13.1704545454546,-9.13636363636364,4
"23",6,4,-6.21590909090909,-13.1704545454546,-9.13636363636364,5
"24",6,6,-6.21590909090909,-13.1704545454546,-9.13636363636364,6
"25",7,4,0.784090909090908,1.82954545454545,-0.136363636363637,1
"26",7,2,0.784090909090908,1.82954545454545,-0.136363636363637,2
"27",7,4,0.784090909090908,1.82954545454545,-0.136363636363637,3
"28",7,4,0.784090909090908,1.82954545454545,-0.136363636363637,4
"29",7,5,0.784090909090908,1.82954545454545,-0.136363636363637,5
"30",7,5,0.784090909090908,1.82954545454545,-0.136363636363637,6
"31",13,5,-4.21590909090909,-9.17045454545455,-7.13636363636364,1
"32",13,4,-4.21590909090909,-9.17045454545455,-7.13636363636364,2
"33",13,5,-4.21590909090909,-9.17045454545455,-7.13636363636364,3
"34",13,NA,-4.21590909090909,-9.17045454545455,-7.13636363636364,4
"35",13,5,-4.21590909090909,-9.17045454545455,-7.13636363636364,5
"36",13,5,-4.21590909090909,-9.17045454545455,-7.13636363636364,6
"37",16,5,-5.21590909090909,12.8295454545454,5.86363636363636,1
"38",16,6,-5.21590909090909,12.8295454545454,5.86363636363636,2
"39",16,6,-5.21590909090909,12.8295454545454,5.86363636363636,3
"40",16,6,-5.21590909090909,12.8295454545454,5.86363636363636,4
"41",16,4,-5.21590909090909,12.8295454545454,5.86363636363636,5
"42",16,NA,-5.21590909090909,12.8295454545454,5.86363636363636,6
"43",19,4,-7.21590909090909,-0.170454545454547,0.863636363636363,1
"44",19,5,-7.21590909090909,-0.170454545454547,0.863636363636363,2
"45",19,5,-7.21590909090909,-0.170454545454547,0.863636363636363,3
"46",19,3,-7.21590909090909,-0.170454545454547,0.863636363636363,4
"47",19,4,-7.21590909090909,-0.170454545454547,0.863636363636363,5
"48",19,4,-7.21590909090909,-0.170454545454547,0.863636363636363,6
"49",21,NA,3.78409090909091,8.82954545454545,-1.13636363636364,1
"50",21,3,3.78409090909091,8.82954545454545,-1.13636363636364,2
"51",21,4,3.78409090909091,8.82954545454545,-1.13636363636364,3
"52",21,6,3.78409090909091,8.82954545454545,-1.13636363636364,4
"53",21,1,3.78409090909091,8.82954545454545,-1.13636363636364,5
"54",21,3,3.78409090909091,8.82954545454545,-1.13636363636364,6
"55",25,4,-5.21590909090909,3.82954545454545,-4.13636363636364,1
"56",25,2,-5.21590909090909,3.82954545454545,-4.13636363636364,2
"57",25,3,-5.21590909090909,3.82954545454545,-4.13636363636364,3
"58",25,6,-5.21590909090909,3.82954545454545,-4.13636363636364,4
"59",25,4,-5.21590909090909,3.82954545454545,-4.13636363636364,5
"60",25,3,-5.21590909090909,3.82954545454545,-4.13636363636364,6
"61",27,5,-0.215909090909092,5.82954545454545,-6.13636363636364,1
"62",27,5,-0.215909090909092,5.82954545454545,-6.13636363636364,2
"63",27,6,-0.215909090909092,5.82954545454545,-6.13636363636364,3
"64",27,6,-0.215909090909092,5.82954545454545,-6.13636363636364,4
"65",27,6,-0.215909090909092,5.82954545454545,-6.13636363636364,5
"66",27,5,-0.215909090909092,5.82954545454545,-6.13636363636364,6
"67",28,5,-4.21590909090909,-3.17045454545455,-6.13636363636364,1
"68",28,5,-4.21590909090909,-3.17045454545455,-6.13636363636364,2
"69",28,5,-4.21590909090909,-3.17045454545455,-6.13636363636364,3
"70",28,4,-4.21590909090909,-3.17045454545455,-6.13636363636364,4
"71",28,4,-4.21590909090909,-3.17045454545455,-6.13636363636364,5
"72",28,4,-4.21590909090909,-3.17045454545455,-6.13636363636364,6
"73",30,6,-6.21590909090909,2.82954545454545,-10.1363636363636,1
"74",30,5,-6.21590909090909,2.82954545454545,-10.1363636363636,2
"75",30,1,-6.21590909090909,2.82954545454545,-10.1363636363636,3
"76",30,5,-6.21590909090909,2.82954545454545,-10.1363636363636,4
"77",30,5,-6.21590909090909,2.82954545454545,-10.1363636363636,5
"78",30,5,-6.21590909090909,2.82954545454545,-10.1363636363636,6
"79",31,5,-1.21590909090909,-13.1704545454546,4.86363636363636,1
"80",31,6,-1.21590909090909,-13.1704545454546,4.86363636363636,2
"81",31,5,-1.21590909090909,-13.1704545454546,4.86363636363636,3
"82",31,2,-1.21590909090909,-13.1704545454546,4.86363636363636,4
"83",31,6,-1.21590909090909,-13.1704545454546,4.86363636363636,5
"84",31,3,-1.21590909090909,-13.1704545454546,4.86363636363636,6
"85",35,NA,12.7840909090909,4.82954545454545,-1.13636363636364,1
"86",35,6,12.7840909090909,4.82954545454545,-1.13636363636364,2
"87",35,6,12.7840909090909,4.82954545454545,-1.13636363636364,3
"88",35,6,12.7840909090909,4.82954545454545,-1.13636363636364,4
"89",35,6,12.7840909090909,4.82954545454545,-1.13636363636364,5
"90",35,6,12.7840909090909,4.82954545454545,-1.13636363636364,6
"91",37,5,-4.21590909090909,6.82954545454545,0.863636363636363,1
"92",37,6,-4.21590909090909,6.82954545454545,0.863636363636363,2
"93",37,NA,-4.21590909090909,6.82954545454545,0.863636363636363,3
"94",37,5,-4.21590909090909,6.82954545454545,0.863636363636363,4
"95",37,NA,-4.21590909090909,6.82954545454545,0.863636363636363,5
"96",37,NA,-4.21590909090909,6.82954545454545,0.863636363636363,6
"97",41,6,-1.21590909090909,0.829545454545453,-3.13636363636364,1
"98",41,2,-1.21590909090909,0.829545454545453,-3.13636363636364,2
"99",41,NA,-1.21590909090909,0.829545454545453,-3.13636363636364,3
"100",41,4,-1.21590909090909,0.829545454545453,-3.13636363636364,4
"101",41,6,-1.21590909090909,0.829545454545453,-3.13636363636364,5
"102",41,3,-1.21590909090909,0.829545454545453,-3.13636363636364,6
"103",46,4,-1.21590909090909,10.8295454545454,-0.136363636363637,1
"104",46,5,-1.21590909090909,10.8295454545454,-0.136363636363637,2
"105",46,1,-1.21590909090909,10.8295454545454,-0.136363636363637,3
"106",46,1,-1.21590909090909,10.8295454545454,-0.136363636363637,4
"107",46,3,-1.21590909090909,10.8295454545454,-0.136363636363637,5
"108",46,2,-1.21590909090909,10.8295454545454,-0.136363636363637,6
"109",47,6,11.7840909090909,10.8295454545454,2.86363636363636,1
"110",47,5,11.7840909090909,10.8295454545454,2.86363636363636,2
"111",47,4,11.7840909090909,10.8295454545454,2.86363636363636,3
"112",47,4,11.7840909090909,10.8295454545454,2.86363636363636,4
"113",47,1,11.7840909090909,10.8295454545454,2.86363636363636,5
"114",47,3,11.7840909090909,10.8295454545454,2.86363636363636,6
"115",48,4,6.78409090909091,-15.1704545454546,-0.136363636363637,1
"116",48,2,6.78409090909091,-15.1704545454546,-0.136363636363637,2
"117",48,2,6.78409090909091,-15.1704545454546,-0.136363636363637,3
"118",48,4,6.78409090909091,-15.1704545454546,-0.136363636363637,4
"119",48,4,6.78409090909091,-15.1704545454546,-0.136363636363637,5
"120",48,4,6.78409090909091,-15.1704545454546,-0.136363636363637,6
"121",51,6,-1.21590909090909,11.8295454545454,-4.13636363636364,1
"122",51,5,-1.21590909090909,11.8295454545454,-4.13636363636364,2
"123",51,NA,-1.21590909090909,11.8295454545454,-4.13636363636364,3
"124",51,4,-1.21590909090909,11.8295454545454,-4.13636363636364,4
"125",51,5,-1.21590909090909,11.8295454545454,-4.13636363636364,5
"126",51,4,-1.21590909090909,11.8295454545454,-4.13636363636364,6
"127",59,5,-5.21590909090909,1.82954545454545,7.86363636363636,1
"128",59,5,-5.21590909090909,1.82954545454545,7.86363636363636,2
"129",59,2,-5.21590909090909,1.82954545454545,7.86363636363636,3
"130",59,3,-5.21590909090909,1.82954545454545,7.86363636363636,4
"131",59,4,-5.21590909090909,1.82954545454545,7.86363636363636,5
"132",59,6,-5.21590909090909,1.82954545454545,7.86363636363636,6
"133",61,NA,5.78409090909091,7.82954545454545,5.86363636363636,1
"134",61,0,5.78409090909091,7.82954545454545,5.86363636363636,2
"135",61,0,5.78409090909091,7.82954545454545,5.86363636363636,3
"136",61,0,5.78409090909091,7.82954545454545,5.86363636363636,4
"137",61,0,5.78409090909091,7.82954545454545,5.86363636363636,5
"138",61,0,5.78409090909091,7.82954545454545,5.86363636363636,6
"139",63,NA,7.78409090909091,-3.17045454545455,0.863636363636363,1
"140",63,NA,7.78409090909091,-3.17045454545455,0.863636363636363,2
"141",63,4,7.78409090909091,-3.17045454545455,0.863636363636363,3
"142",63,2,7.78409090909091,-3.17045454545455,0.863636363636363,4
"143",63,6,7.78409090909091,-3.17045454545455,0.863636363636363,5
"144",63,4,7.78409090909091,-3.17045454545455,0.863636363636363,6
"145",65,6,-2.21590909090909,-1.17045454545455,0.863636363636363,1
"146",65,6,-2.21590909090909,-1.17045454545455,0.863636363636363,2
"147",65,4,-2.21590909090909,-1.17045454545455,0.863636363636363,3
"148",65,5,-2.21590909090909,-1.17045454545455,0.863636363636363,4
"149",65,5,-2.21590909090909,-1.17045454545455,0.863636363636363,5
"150",65,NA,-2.21590909090909,-1.17045454545455,0.863636363636363,6
"151",66,4,3.78409090909091,10.8295454545454,1.86363636363636,1
"152",66,5,3.78409090909091,10.8295454545454,1.86363636363636,2
"153",66,4,3.78409090909091,10.8295454545454,1.86363636363636,3
"154",66,5,3.78409090909091,10.8295454545454,1.86363636363636,4
"155",66,4,3.78409090909091,10.8295454545454,1.86363636363636,5
"156",66,3,3.78409090909091,10.8295454545454,1.86363636363636,6
"157",70,5,-1.21590909090909,-8.17045454545455,-9.13636363636364,1
"158",70,0,-1.21590909090909,-8.17045454545455,-9.13636363636364,2
"159",70,3,-1.21590909090909,-8.17045454545455,-9.13636363636364,3
"160",70,6,-1.21590909090909,-8.17045454545455,-9.13636363636364,4
"161",70,1,-1.21590909090909,-8.17045454545455,-9.13636363636364,5
"162",70,NA,-1.21590909090909,-8.17045454545455,-9.13636363636364,6
"163",71,5,4.78409090909091,3.82954545454545,2.86363636363636,1
"164",71,5,4.78409090909091,3.82954545454545,2.86363636363636,2
"165",71,6,4.78409090909091,3.82954545454545,2.86363636363636,3
"166",71,6,4.78409090909091,3.82954545454545,2.86363636363636,4
"167",71,5,4.78409090909091,3.82954545454545,2.86363636363636,5
"168",71,6,4.78409090909091,3.82954545454545,2.86363636363636,6
"169",78,3,-2.21590909090909,16.8295454545454,2.86363636363636,1
"170",78,0,-2.21590909090909,16.8295454545454,2.86363636363636,2
"171",78,3,-2.21590909090909,16.8295454545454,2.86363636363636,3
"172",78,4,-2.21590909090909,16.8295454545454,2.86363636363636,4
"173",78,4,-2.21590909090909,16.8295454545454,2.86363636363636,5
"174",78,NA,-2.21590909090909,16.8295454545454,2.86363636363636,6
"175",79,5,-6.21590909090909,0.829545454545453,1.86363636363636,1
"176",79,5,-6.21590909090909,0.829545454545453,1.86363636363636,2
"177",79,6,-6.21590909090909,0.829545454545453,1.86363636363636,3
"178",79,6,-6.21590909090909,0.829545454545453,1.86363636363636,4
"179",79,6,-6.21590909090909,0.829545454545453,1.86363636363636,5
"180",79,5,-6.21590909090909,0.829545454545453,1.86363636363636,6
"181",80,5,-1.21590909090909,2.82954545454545,6.86363636363636,1
"182",80,5,-1.21590909090909,2.82954545454545,6.86363636363636,2
"183",80,4,-1.21590909090909,2.82954545454545,6.86363636363636,3
"184",80,5,-1.21590909090909,2.82954545454545,6.86363636363636,4
"185",80,5,-1.21590909090909,2.82954545454545,6.86363636363636,5
"186",80,3,-1.21590909090909,2.82954545454545,6.86363636363636,6
"187",84,3,-3.21590909090909,6.82954545454545,3.86363636363636,1
"188",84,4,-3.21590909090909,6.82954545454545,3.86363636363636,2
"189",84,4,-3.21590909090909,6.82954545454545,3.86363636363636,3
"190",84,4,-3.21590909090909,6.82954545454545,3.86363636363636,4
"191",84,4,-3.21590909090909,6.82954545454545,3.86363636363636,5
"192",84,2,-3.21590909090909,6.82954545454545,3.86363636363636,6
"193",90,5,-6.21590909090909,11.8295454545454,8.86363636363636,1
"194",90,3,-6.21590909090909,11.8295454545454,8.86363636363636,2
"195",90,3,-6.21590909090909,11.8295454545454,8.86363636363636,3
"196",90,4,-6.21590909090909,11.8295454545454,8.86363636363636,4
"197",90,6,-6.21590909090909,11.8295454545454,8.86363636363636,5
"198",90,5,-6.21590909090909,11.8295454545454,8.86363636363636,6
"199",91,5,-4.21590909090909,-11.1704545454546,-7.13636363636364,1
"200",91,6,-4.21590909090909,-11.1704545454546,-7.13636363636364,2
"201",91,5,-4.21590909090909,-11.1704545454546,-7.13636363636364,3
"202",91,4,-4.21590909090909,-11.1704545454546,-7.13636363636364,4
"203",91,4,-4.21590909090909,-11.1704545454546,-7.13636363636364,5
"204",91,4,-4.21590909090909,-11.1704545454546,-7.13636363636364,6
"205",95,5,-5.21590909090909,-9.17045454545455,1.86363636363636,1
"206",95,4,-5.21590909090909,-9.17045454545455,1.86363636363636,2
"207",95,6,-5.21590909090909,-9.17045454545455,1.86363636363636,3
"208",95,4,-5.21590909090909,-9.17045454545455,1.86363636363636,4
"209",95,5,-5.21590909090909,-9.17045454545455,1.86363636363636,5
"210",95,6,-5.21590909090909,-9.17045454545455,1.86363636363636,6
"211",102,4,-3.21590909090909,1.82954545454545,2.86363636363636,1
"212",102,2,-3.21590909090909,1.82954545454545,2.86363636363636,2
"213",102,1,-3.21590909090909,1.82954545454545,2.86363636363636,3
"214",102,3,-3.21590909090909,1.82954545454545,2.86363636363636,4
"215",102,4,-3.21590909090909,1.82954545454545,2.86363636363636,5
"216",102,5,-3.21590909090909,1.82954545454545,2.86363636363636,6
"217",103,2,-4.21590909090909,4.82954545454545,-0.136363636363637,1
"218",103,3,-4.21590909090909,4.82954545454545,-0.136363636363637,2
"219",103,6,-4.21590909090909,4.82954545454545,-0.136363636363637,3
"220",103,4,-4.21590909090909,4.82954545454545,-0.136363636363637,4
"221",103,6,-4.21590909090909,4.82954545454545,-0.136363636363637,5
"222",103,6,-4.21590909090909,4.82954545454545,-0.136363636363637,6
"223",107,6,-7.21590909090909,2.82954545454545,6.86363636363636,1
"224",107,6,-7.21590909090909,2.82954545454545,6.86363636363636,2
"225",107,6,-7.21590909090909,2.82954545454545,6.86363636363636,3
"226",107,6,-7.21590909090909,2.82954545454545,6.86363636363636,4
"227",107,6,-7.21590909090909,2.82954545454545,6.86363636363636,5
"228",107,5,-7.21590909090909,2.82954545454545,6.86363636363636,6
"229",109,4,-6.21590909090909,7.82954545454545,6.86363636363636,1
"230",109,6,-6.21590909090909,7.82954545454545,6.86363636363636,2
"231",109,6,-6.21590909090909,7.82954545454545,6.86363636363636,3
"232",109,5,-6.21590909090909,7.82954545454545,6.86363636363636,4
"233",109,6,-6.21590909090909,7.82954545454545,6.86363636363636,5
"234",109,6,-6.21590909090909,7.82954545454545,6.86363636363636,6
"235",110,6,1.78409090909091,-4.17045454545455,-10.1363636363636,1
"236",110,6,1.78409090909091,-4.17045454545455,-10.1363636363636,2
"237",110,3,1.78409090909091,-4.17045454545455,-10.1363636363636,3
"238",110,5,1.78409090909091,-4.17045454545455,-10.1363636363636,4
"239",110,4,1.78409090909091,-4.17045454545455,-10.1363636363636,5
"240",110,4,1.78409090909091,-4.17045454545455,-10.1363636363636,6
